row_id,tsv_seq,citation_key,year,title,full_name,final_tier,A1_competency_regime,A2_action_abstraction,A2_observation_type,A2_decision_formalism,A3_SPAE_pattern,A3_authority_pattern,A4_assurance_mode,A5_EVL,synthesis_set,_alias_note
38,38,li2023enhancing,2023,Enhancing construction robot learning GAIL,Enhancing construction robot learning for collaborative and long-horizon tasks using generative adversarial imitation learning,Tier A,Structural Assembly and Installation,Low-level,Low-dim structured multi-robot state with UGV base pose and XY pose differences to arms/window/targets arm joint angles and end-effector-to-window or window-to-target pose deltas plus a small set of boolean task flags; no raw images used as policy input despite VR collection and PyBullet rendering,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,VR-collected expert demonstrations of window transport picking and installation on KUKA iiwa arms and Husky UGV feed GAIL generator-discriminator loop; PPO baselines trained with carefully shaped dense rewards while GAIL infers rewards implicitly from state-action distributions; three long-horizon collaborative subtasks with fixed and randomized variants used for benchmarking; all results are in simulation with no physical robot execution or safety/runtime veto layer described.
39,39,lu2022excavation,2022,Excavation RL geometric representation,Excavation reinforcement learning using geometric representation,Tier A,Earthwork and Material Processing,High-level,"Low-dim geometric state from an RGB-D point cloud: crop to digging-tray range then FPS downsample to 7000 points and feed a PointNet++ representation network trained with geometric supervision (normal, curvature, object counting) to produce a compact 280-D embedding; PPO uses this 280-D embedding as observation (no raw point-cloud end-to-end policy)",MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L2,Primary,"PointNet++ geometric representation trained with normal/curvature/object-count supervision and frozen during RL; PPO plans a sequence of attacking poses (x,y,attack angle alpha) using a simplified excavation trajectory template with fixed 5 phases (attacking, digging, dragging, closing, lifting) and fixed closing angle beta and lift height; each action is converted to discretized open-loop joint trajectory via IK with IK/collision failures treated as planning failures; reward is excavated-object volume and episodes execute 10 sequential excavations in sim; direct sim-to-real deployment on physical Franka Panda excavation using RGB-D point clouds demonstrates representation transfer advantage over end-to-end RL on raw point clouds"
40,40,machado2023safe,2023,Safe Crane Handling Collision-Free DDPG,Safe Crane Handling with Collision-Free Path Planning using {DDPG},Tier B,Material Placement and Lifting,Mid-level,High-dim observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,paper-level check: reviewed in prior evidence pass; classification retained after consistency audit.
41,41,matsumoto2020simulation,2020,Simulation-based RL construction machine,Simulation-based reinforcement learning approach towards construction machine automation,Tier A,Earthwork and Material Processing,Mid-level,Low-dim / engineered simulator state,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,This CSV row tracks the hydraulic-excavator soil-loading evaluation only (not mobile boom crane anti-sway in the source).
42,42,mohiuddin2023zero,2023,Zero-shot Sim2Real tower crane,Zero-shot Sim2Real transfer of Deep reinforcement learning controller for tower crane system,Tier B,Material Placement and Lifting,Low-level,Low-dim structured crane-state observation (xg distance-to-goal; x_dot trolley velocity; alpha load-swing angle; alpha_dot load-swing rate),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM1,L2,Contextual,"DDPG (off-policy) continuous controller for tower-crane trolley motion with swing suppression; observations are 4 low-dim states (xg,x_dot,alpha,alpha_dot) and the 1 action is normalized motor voltage V mapped to PWM; OU noise exploration; sample time 0.1 s; reward targets fast trolley arrival with load swing damped to ~0; PI baseline uses small-angle linearization (friction neglected) and tuned gains for trolley and swing; Sim2Real zero-shot transfer is demonstrated on the INTECO TCS hardware using the detailed dynamic model during training (no additional transfer technique reported)."
43,43,molaei2026data,2026,Data-driven rock capture standard excavator,Data-driven rock capture with a standard excavator via model-free reinforcement learning,Tier B,Earthwork and Material Processing,Mid-level,"Low-dim / structured simulator state, rock CoM and excavator state",POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,Simulator-provided state and rock CoM; partial-state / simulator observable boundary versus full soil/soil-shape state.
44,44,morais2025reinforcement,2025,RL World Models Autonomous Excavation,Reinforcement Learning with World Models for Autonomous Excavation Optimization in Wheel Loaders,Tier B,Earthwork and Material Processing,Mid-level,Low-dim / structured time-series simulator state,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,LSTM world model trained on Volvo simulator-derived features; imagined PPO rollouts.
45,45,mori2025human,2025,Human-in-the-Loop RL Hydraulic Excavator,Human-in-the-Loop Reinforcement Learning to Track Excavation Paths for a Hydraulic Excavator in a Short Period of Time,Tier A,Earthwork and Material Processing,Mid-level,Low-dim / structured sensor-state and target-path representation,POMDP,H/D/MB/MB,Bounded skill or supervisory,AM2,L3,Primary,Human-in-the-loop partially observed path tracking and world-model path representation.
46,46,osa2022deep,2022,DRL adversarial training excavation depth,Deep reinforcement learning with adversarial training for automated excavation using depth images,Tier A,Earthwork and Material Processing,Mid-level,High-dim observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,Depth-image based excavation perception (high-dim).
47,47,osa2023learning,2023,Learning adaptive policies excavation soil,Learning adaptive policies for autonomous excavation under various soil conditions by adversarial domain sampling,Tier A,Earthwork and Material Processing,Mid-level,High-dim observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,Adversarial/domain sampling coded as training-side robustness under manuscript A4 rules; no disclosed execution-time assurance.
48,48,ozaki2024blade,2024,Blade control bulldozer RL,Blade control for bulk dozer push by bulldozer using reinforcement learning,Tier A,Earthwork and Material Processing,Mid-level,High-dim observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,Reward shaping and simulator failure resets do not imply active execution-time AM2 mediation under A4 coding rules.
49,49,parisi2024new,2024,A New Concept for Large Additive Manufacturing,A New Concept for Large Additive Manufacturing in Construction: Tower Crane-Based {3D} Printing Controlled by Deep Reinforcement Learning,Tier B,Additive Manufacturing and Surface Processing,Low-level continuous actuator control (jib angular increment u_a_t and aero-pendulum thrust force F_t),Low-dim structured continuous state vector (relative perpendicular extruder-trolley p_t p_dot p_ddot; previous angular increment u_a_prev; thrust F_t; trolley angle u_t; trolley global x y plus velocities/accelerations x_dot y_dot x_ddot y_ddot),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,"TD3 actor-critic continuous control for TC-based 3D printing using Simscape Multibody; action is {u_a_t, F_t} with bounded ranges (u_a_t in [0.005..0.2] and F_t in [-300..300] N); observation is a structured vector with relative extruder-trolley perpendicular dynamics plus trolley global pose and derivatives (p_t p_dot p_ddot u_a_t F_t u_t x y x_dot y_dot x_ddot y_ddot); simulated discrete-time MDP with dt = 0.1 s and horizon T = 60 s; reward encourages fast trajectory following while suppressing swing: r_t = u_a_prev * 25/(1+1e8 p_t); training uses minibatch 512 and replay buffer 1e6 (actor lr 1e-4 critic lr 1e-3 discount 0.99) with roughly 5000 simulation episodes; evaluated against an uncontrolled case under externally applied disturbance forces on the extruder (d(t)=A*sin(f*t+phi)+b with A in [-200..200] N and f in [6.28..62.8] rad/s and phi in [0..0.35] rad and b in [0..30] N); controlled case achieves Eurocode 6 EN 1996-2 tolerances with max abs error about 0.08 m and mean abs error about 0.045 m (uncontrolled abs error up to about 0.99 m)."
50,50,poudel2025slam,2025,SLAM-Assisted Transformer-Based TD3 DRL,SLAM-Assisted Transformer-Based {TD3} Deep Reinforcement Learning for Adaptive Navigation and Mapping and Dynamic Obstacle Avoidance in Autonomous Construction Robotics,Tier B,"Navigation, Layout, and Logistics Support",Mid-level,High-dim / SLAM occupancy-grid and pose representation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,Real-time occupancy grids and pose estimates plus transformer TD3 obstacle avoidance policy.
51,51,shen2024generalized,2024,Generalized Framework for Wheel Loader Automatic Shoveling Task,Generalized Framework for Wheel Loader Automatic Shoveling Task with Expert Initialized Reinforcement Learning,Tier A,Earthwork and Material Processing,Low-level continuous joint position targets (boom and bucket trajectory setpoints),Low-dim / structured joint state and target-distance (theta_boom theta_bucket theta_dot_boom theta_dot_bucket dr),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM2,L3,Primary,"CoL (Circle of Learning) expert-initialized TD3 for fast wheel-loader bucket shoveling; actor outputs continuous boom and bucket position targets while an inverse-dynamics controller tracks them using estimated dynamics B(q) qdd + C(q,q_dot) q_dot + tau_f(q_dot) + g; hydraulic dead-zones are cut from valve-command data and remaining non-linear effects are modeled as Coulomb + viscous friction; states are [theta_boom theta_bucket theta_dot_boom theta_dot_bucket dr] where dr is relative distance from bucket tip to pile edge measured by GNSS and joint kinematics measured by IMUs; reward is zero until bucket penetration then combines a completion term lambda1(1-tanh(d_end)) and a fill-rate term lambda2(V/Vmax) evaluated only at the last two steps of each 100-step episode (dt=0.01s); simulation uses NVIDIA Isaac Gym (PhysX) with cube sand particles and domain randomization on observation noise mu(0,0.002) and pile friction in [0.2,0.9]; pretraining uses 10 expert demonstrations with behavior-cloning loss LBC plus L2 regularization then switches to off-policy CoL/TD3 updates from replay; training takes about 2 hours on CPU and reaches avg fill rate about 89.8% vs TD3 about 20.6% within the same duration (expert about 80%); real experiments on MUSTANG 2040 validate sim-2-real with wet soil avg fill rate about 95% and medium coarse gravel avg about 88% (two safety terminations) and show close boom and bucket trajectory matching, with remaining trajectory roughness attributed to uncertain bucket-media interactions (pressure sensing or better interaction models suggested)."
52,52,shin2025adaptive,2025,Adaptive Excavation Automation Complex Soil,Adaptive Excavation Automation in Complex Soil Environments Using Reinforcement Learning,Tier A,Earthwork and Material Processing,Mid-level,Low-dim / structured soil-parameter and excavation-state representation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,paper-level check: PPO state uses FEE soil parameters and grid/height summary variables rather than raw high-dimensional perception.
53,53,spinelli2026large,2026,Large-Scale Robotic Material Handling,"Large-Scale Robotic Material Handling: Learning, Planning, and Control",Tier A,Earthwork and Material Processing,Mid-level,Low-dim / engineered 2.5D soil heightmap (hsoil) for attack-point planning + proprioceptive joint state and action/velocity history for waypoint-following/throwing (tube-distance and inferred binary gripper open/close),POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM2,L4,Primary,"Full framework for autonomous bulk material handling with grasp-and-dump cycles on a fixed-base 40 t hydraulic material handler. RL modules: (1) attack-point planner (PPO) outputs a 3D grasp attack point to maximize scooped volume / minimize number of cycles, operating on an engineered heightmap hsoil derived from filtered pile geometry; policy input is flattened hsoil (optionally bicubic-interpolated to coarser grids) with observation-noise models (sensor Gaussian noise, LiDAR dropout/spikes simulated during training) and domain-randomized pile initializations. (2) waypoint-following controller (PPO) tracks provided waypoint sequences with bounded deviation via tube constraints and minimizes oscillations of a free-swinging underactuated clamshell gripper; action includes direct slew joystick command plus boom/stick velocity references, constrained by actuator-range clipping and using a history window of actions/velocities to infer latent dynamics. (3) throwing controller extends waypoint-following by adding a binary gripper open action (with simulated release delay) and compensating for granular release by training on discrete sequential rigid loads L1–L3 (parabolic trajectories with tool-oscillation-dependent spread), rewarding accurate final throw while continuing tube/safety terms. Low-level control: boom/stick track velocity references via PI + LUT feedforward; slew dynamics are learned via a hybrid data-driven pressure-to-velocity model (two-stage MLPs) integrated into simulation; gripper oscillation modeled as a double-pendulum with dissipative term. Simulation/training: RaiSim with 512 parallel environments (sim 50 Hz, control 10 Hz), 15 s episodes, multiple PPO updates and history-dependent observations; domain randomization includes hydraulic delay/friction/inertia and initial joint configurations. Safety & execution: obstacle-aware arm path planning uses OctoMap + RRT* and updates every phase change inside a high-level state machine (WAYPOINT/GRASP/THROW), with additional joint-limit safety layer and STOP on failure; RL controllers enforce bounded tracking within the tube for safe motion in cluttered workspaces. Evidence: real-world experiments validate two tasks (bulk pile management and dump-truck loading), comparing against human operators for precision/repeatability/safety; residual sim-to-real errors mainly attributed to slew/model mismatch and uncontrolled granular free-fall after release."
54,54,taheri2024end,2024,End-effector cartesian velocity loader cranes,End-effector cartesian velocity control for redundant loader cranes using reinforcement learning,Tier B,Material Placement and Lifting,Mid-level,Low-dim / structured joint-state and line-tracking error representation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM1,L2,Contextual,paper-level check: RL policy uses kinematic state variables and tracking error terms; real loader-crane testbed evidence supports L2 but not field-operational exposure.
55,55,tan2025reinforcement,2025,RL trajectory planning excavator trenching,Reinforcement learning-based trajectory planning for continuous digging of excavator working devices in trenching tasks,Tier A,Earthwork and Material Processing,Mid-level,Low-dim / structured joint-state and task-geometry representation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,"paper-level check: TD3 state observation is compact engineered variables (joint kinematics/jerk, power-torque, target-area geometry and excavation-rate terms), not raw high-dimensional perception; safety handling is reward/termination shaping without a distinct runtime intervention layer."
56,56,cho2026collaborative,2026,Collaborative learning architecture for autonomous excavator planning and execution,Collaborative learning architecture for autonomous excavator planning and execution,Tier A,Earthwork and Material Processing,Mid-level,High-dim / gridmap plus structured kinematic-state representation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,paper-level check: hierarchical CLEF couples RL excavation-target planning with A-GAIL trajectory execution for excavator operations; observations include gridmap terrain state and engineered joint/error/soil variables; assurance is learning/feedback-based without a distinct runtime intervention shield.
57,57,tarutani2020accuracy,2020,Accuracy Trained Models Lift Planning,Accuracy and Generality of Trained Models for Lift Planning Using Deep Reinforcement Learning-Optimization of the Crane Hook Movement between Two Points,Tier A,Material Placement and Lifting,Mid-level,Low-dim / structured crane-hook kinematic state representation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,"paper-level check: Unity ML-Agents policy uses engineered state variables (hook/target coordinates, vectors, speeds) rather than raw image or point-cloud observations."
58,58,wu2025robot,2025,Robot in the loop human-centered,Robot in the loop: a human-centered approach to contextualizing {AI} and robotics in construction,Tier A,"Navigation, Layout, and Logistics Support",Mid-level,High-dim / multi-modal perception plus structured social-navigation state,POMDP,H/D/MB/MB,Bounded skill or supervisory,AM1,L3,Primary,paper-level check: construction-floor prototype combines RGB-D and LiDAR perception with DRL social navigation; includes worker-facing summon/send/accompany controls and real-world comfort-focused evaluation.
59,59,xiao2025_modular,2025,Autonomous modular construction robotized crane,Autonomous modular construction strategy using robotized crane based on deep learning and reinforcement learning,Tier A,Material Placement and Lifting,Mid-level,High-dim / vision-based container detection plus structured crane-state representation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,paper-level check: YOLOv5-S is used for modular container image detection/localization and PPO-I for collision-free crane motion planning in virtual construction environments.
60,60,xiao2025autonomous,2025,Autonomous construction framework crane SAC,Autonomous construction framework for crane control with enhanced soft actor--critic algorithm and real-time progress monitoring,Tier A,Material Placement and Lifting,Mid-level,Low-dim / structured crane-state and obstacle-geometry representation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM2,L3,Primary,paper-level check: SAC-E policy consumes engineered crane/object/obstacle state variables with sensor feedback and executes on a robotized mobile crane; real-time BIM-linked monitoring and emergency-stop governance support construction-representative exposure.
61,61,ye2025eulerian,2025,Eulerian Circuit-Based RL Path Optimization,A Eulerian Circuit-Based Reinforcement Learning Path Optimization Method for {3D} Concrete Printing,Tier B,Additive Manufacturing and Surface Processing,Low-level discrete next-edge selection along the Eulerian graph (Q-learning at branching points),Low-dim / engineered discrete traversal state (current point index among 15600; branching/non-branching + forward-only constraint),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,"3D concrete printing slice is treated as graph traversal: 15600 discretized points form the RL environment state; 32 branching points are the decision vertices while non-branching points are visited once and enforce forward-only motion (no reverse). Fleury algorithm first generates multiple Eulerian circuits from the same start vertex; RL (tabular Q-learning) optimizes which next-edge/next branching choice to follow along those circuits. Reward is distributed to guide global behavior: positive reward at branching states with higher value rb<=re when the agent follows the Eulerian circuit order; turning penalty Rt(s,a) applies negative reward when the printhead changes direction/action (reducing turning and lift/start-stop). Training uses epsilon-greedy with linearly decayed epsilon from 0.3 to 0.05 and terminates after exhaustive traversal with no redundancy (unvisited list becomes empty). Reported outcome for N=13: non-print ratio becomes zero (one-stroke Eulerian traversal), turning times reduced by 20.2% vs Eulerian circuit baseline; lifting times reduced by 59.6% vs ZigZag and by 36.3% vs Eulerian. Gains increase as geometry complexity grows; paths exhibit regular sub-path structure beneficial for subsequent G-code digitization/standardization."
62,62,zeng2025reinforcement,2025,RL Assisted Robotic Masonry Block,Reinforcement Learning Assisted Robotic Construction for Masonry Block Dry-Stacking in Simulation Environments,Tier B,Structural Assembly and Installation,Mid-level,Low-dim / structured end-effector–block and block–target state representation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,paper-level check: PPO-based robot-arm dry-stacking is validated in PyBullet/Gym simulation only; policy inputs are engineered distance/state variables rather than raw high-dimensional perception and no distinct runtime intervention layer is disclosed.
63,63,zhu2021deep,2021,DRL prefab assembly planning,Deep reinforcement learning for prefab assembly planning in robot-based prefabricated construction,Tier B,Structural Assembly and Installation,Mid-level,Low-dim / structured grid-state and component-status tensor representation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,paper-level check: CASE 2021 study formulates prefab assembly planning in a simulated pygame/OpenGL environment with DQN variants; observations are engineered state tensors and evidence remains simulation-only without independent runtime safety intervention.
64,64,zhu2022excavation,2022,Excavation fragmented rocks multi-modal,Excavation of fragmented rocks with multi-modal model-based reinforcement learning,Tier A,Earthwork and Material Processing,Mid-level,High-dim / multi-modal visual-tactile-proprioceptive state with structured robot pose-force history,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM2,L2,Primary,"paper-level check: IROS 2022 method learns RNN dynamics from physical excavation data and performs MPC over discrete excavation primitives using RGB, contact-force, and proprioceptive feedback to avoid jamming while tracking a reference path."
65,65,zhu2023deep,2023,DRL real-time assembly planning,Deep reinforcement learning for real-time assembly planning in robot-based prefabricated construction,Tier B,Structural Assembly and Installation,High-level,Low-dim / BIM-simulator structured state,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,paper-level check: TASE 2023 extends the CASE 2021 simulator-based prefab assembly-planning line with broader benchmark scenarios and DRL comparisons; evidence remains simulation-only planning support without physical robot deployment validation.
66,66,gannouni2023tunnelring,2023,Experimental Digital Twin Tunnel Ring,Experimental Digital Twin of a Tunnel Ring Building Erector,Tier B,Structural Assembly and Installation,Mid-level,Low-dim structured state,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,paper-level check: EUROCON 2023 EDT studies PPO control learning for tunnel-segment placement in a MuJoCo simulation with collision-aware rewards; evidence is simulation-only and discusses future transfer under safety constraints without physical deployment validation.
67,67,balazy2024reinforcement,2024,RL Overhead Crane Sensor-Failure,Reinforcement Learning-Based Overhead Crane Control for Handling in Sensor-Failure Scenarios,Tier B,Material Placement and Lifting,Mid-level,Low-dim / estimated crane-state observation under sensor-failure,POMDP,MB/D/MB/MB,Residual learning within classical control,AM0,L0,Contextual,paper-level check: ICCC 2024 learns feedback gains for overhead-crane control from estimated states in sensor-failure scenarios; robustness is demonstrated in simulation without a distinct runtime intervention shield.
68,68,yi2024substructure,2024,Substructure-Preserving Generalization,Substructure-Preserving Generalization for on-site robotic construction planning,Tier B,Structural Assembly and Installation,High-level,Low-dim graph/structured state,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,paper-level check: ISCIPT 2024 proposes offline RL and graph-transformer composition for bridge-construction planning in PyBullet with randomized block lengths and cliff distances; results are simulator-only generalization benchmarks without physical deployment evidence.
69,69,ning2025cooperative,2025,Cooperative Relaying Construction Equipment Networks,Cooperative Relaying for Connected Construction Equipment Networks With Hybrid Hierarchical Proximal Policy Optimization,Tier B,"Navigation, Layout, and Logistics Support",High-level,Low-dim network state,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,paper-level check: TCOMM 2025 studies NR-V2X cooperative relay strategy optimization for tunnel construction-equipment networks via HH-PPO under mixed action space; evidence is simulation-based communication-planning performance without embodied robot control deployment.
70,70,ishihara2024mpc,2024,Controlling Autonomous Machines MPC,Controlling Autonomous Machines at Construction Sites with Heterogeneous Moving Objects by Model Predictive Control,Tier B,"Navigation, Layout, and Logistics Support",Mid-level,Low-dim / structured multi-agent kinematic-state and predicted-trajectory observation,N/A,MB/MB/MB/MB,Non-RL model-based control contextual,AM0,L0,Contextual,paper-level check: SMC 2024 uses unified NMPC for autonomous excavator and dump truck with explicit collision-avoidance constraints and simple human-operated machine trajectory prediction; evidence is numerical simulation without hardware deployment.
71,71,saffari2025miniature,2025,Robotization Miniature-Scale Radio-Controlled Excavator,Robotization of Miniature-Scale Radio-Controlled Excavator: A New Medium for Construction- Specific DNN Data Generation,Tier B,Earthwork and Material Processing,Low-level,Low-dim / structured joint-kinematic and PWM-command observation,N/A,MB/MB/MB/MB,Non-RL robotization/data-generation platform,AM0,L1,Contextual,paper-level check: IEEE Access 2025 presents robotization and motion-model validation of a miniature RC excavator for automated data labeling and future RL experimentation; evidence is controlled laboratory platform validation rather than deployed excavation task autonomy.
72,72,bandong2025prpgantry,2025,PRP-Gantry Crane Neural IDA-PBC,Modeling and Control of PRP-Gantry Crane Systems via Neural IDA-PBC,Tier B,Material Placement and Lifting,Mid-level,Low-dim / structured PRP-GC state and parameter observation,N/A,MB/MB/MB/MB,Non-RL neural/passivity-based control contextual,AM0,L0,Contextual,paper-level check: T-ITS 2025 develops PINN-assisted Neural IDA-PBC for underactuated PRP-gantry crane sway and position regulation with Monte Carlo robustness simulation; this is non-RL control-theoretic validation without runtime intervention shield.
73,73,laksana2025navigating,2025,Navigating Vision-based Autonomous Excavator,Navigating Vision-based Autonomous Excavator Robot Using Deep Reinforcement Learning,Tier B,"Navigation, Layout, and Logistics Support",Mid-level,Low-dim perception-derived state,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,paper-level check: EECSI 2025 uses PPO with YOLOv8n for camera-guided autonomous excavator navigation in Webots simulation; reports task success and angle errors but does not provide physical deployment validation.
74,74,xu2019feedbackddpg,2019,Feedback DDPG Fuzzy Reward Peg-in-Hole,Feedback Deep Deterministic Policy Gradient With Fuzzy Reward for Robotic Multiple Peg-in-Hole Assembly Tasks,Tier B,Structural Assembly and Installation,Mid-level,Low-dim / structured pose-force-moment state observation,MDP,MB/D/MB/MB,Residual learning within classical control,AM1,L2,Contextual,"paper-level check: TII 2019 combines MDDPG with fuzzy reward and feedback exploration guided by classical force control, demonstrating contact-rich dual peg-in-hole performance in simulation and lab experiments; strong method evidence but generic industrial context."
75,75,luo2019variableimpedance,2019,RL Variable Impedance Controller High-Precision,Reinforcement Learning on Variable Impedance Controller for High-Precision Robotic Assembly,Tier B,Structural Assembly and Installation,Mid-level,Low-dim / structured robot-state plus force-torque observation,MDP,MB/D/MB/MB,Residual learning within classical control,AM1,L2,Contextual,"paper-level check: ICRA 2019 combines iLQG-based RL with operational-space force/torque control for tight-tolerance assembly, showing simulation and physical robot validation with variable impedance behavior; strong contact-rich evidence in generic industrial context."
76,76,li2019manipulationskill,2019,Manipulation Skill Acquisition Assembly,Manipulation Skill Acquisition for Robotic Assembly using Deep Reinforcement Learning,Tier B,Structural Assembly and Installation,Low-level,Low-dim / structured joint-state plus force-torque observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM1,L2,Contextual,paper-level check: AIM 2019 trains DDPG directly on a real KUKA iiwa fasten-assembly task with joint/pose/force-torque state and explicit torque-limit safety constraints; demonstrates lab-scale physical validation but remains contextual evidence for construction robotics.
77,77,strickland2019multirobot,2019,A reinforcement learning approach to multi-robot planar construction,A Reinforcement Learning Approach to Multi-Robot Planar Construction,Tier B,"Navigation, Layout, and Logistics Support",High-level,Low-dim / local scalar-field plus puck-contact state,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,paper-level check: MRS 2019 studies decentralized tabular Q-learning for multi-robot planar shape formation in a custom 2D simulator using local scalar-field and puck sensors; evidence is simulation-only collective construction planning without physical construction-robot deployment.
78,78,jin2021sharedcontrol,2021,Task Learning Intent Prediction Blended Shared Control,"Task Learning, Intent Prediction, and Adaptive Blended Shared Control With Application to Excavators",Tier B,Earthwork and Material Processing,Mid-level,Low-dim / structured joint-state plus operator-input intent features,POMDP,H/D/H/H,Bounded shared control,AM2,L2,Contextual,paper-level check: TCST study learns subgoals from skilled demonstrations and performs intent-aware blended shared control with conflict-awareness on a scaled hydraulic excavator for earth-moving with novice operators; strong lab human-in-the-loop evidence but not autonomous field deployment.
79,79,kurinov2020automatedexcavator,2020,Automated Excavator RL Multibody System Dynamics,Automated Excavator Based on Reinforcement Learning and Multibody System Dynamics,Tier B,Earthwork and Material Processing,Low-level,Low-dim / structured multibody-hydraulic state and task-progress observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,"paper-level check: IEEE Access 2020 trains PPO-CMA to control a simulated excavator with multibody dynamics, hydraulic actuators, and deformable soil for hopper loading; despite high-fidelity physics, evidence is simulation-only with no physical excavator deployment validation."
80,80,bui2022disturbance,2022,Disturbance-Observer RL Overhead Crane,Disturbance-Observer based Reinforcement Learning for Overhead Crane Systems,Tier B,Material Placement and Lifting,Low-level,Low-dim / structured crane-state and tracking-error observation,POMDP,MB/D/MB/MB,Residual learning within classical control,AM1,L0,Contextual,paper-level check: ICCAIS 2022 presents disturbance-observer-enhanced ADP/RL control for a 2D overhead crane with Lyapunov analysis and numerical simulation only; evidence is control-theoretic and simulation-based without physical construction lifting deployment.
81,81,brosque2020opportunities,2020,Human-robot collaboration construction,Human-Robot Collaboration in Construction: Opportunities and Challenges,Tier B,Structural Assembly and Installation,Mid-level,Low-dim / structured visual-haptic teleoperation state,POMDP,H/D/H/H,Bounded skill or supervisory,AM1,L1,Contextual,"paper-level check: this is an HRC opportunities/method framing paper (simulation-centric with selected lab/hardware haptic demonstrations across drywall/painting/bolting/welding/pouring scenarios), not a standalone deep-RL construction deployment study; keep as contextual authority and exclude from retained DRL system-instance denominator."
82,82,cai2022reinforcement,2022,RL approach multiple tasks virtual construction,A reinforcement learning based approach for conducting multiple tasks using robots in virtual construction environments,Tier B,Structural Assembly and Installation,Low-level,Low-dim / structured 6-DoF arm and goal-relative pick-place observation with Unity virtual ray-cast subtask signals,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,paper-level check: curriculum-learning PPO with extrinsic plus curiosity intrinsic rewards in Unity ML-Agents VCE trains one policy generalizing across flooring window and ceiling panel installation pick-place variants; evaluation is simulation-only with ~80% average success and no disclosed independent runtime veto or fallback layer.
83,83,wang_transfer_2025,2025,Transfer RL digital-twin task allocation HRC,A transfer reinforcement learning and digital-twin based task allocation method for human-robot collaboration assembly,Tier B,Structural Assembly and Installation,High-level,Low-dim / structured agent-state and task-execution feature observation,POMDP,H/D/H/H,Task/planner-level,AM0,L2,Contextual,paper-level check: Engineering Applications of AI 2025 proposes transfer multi-agent RL with digital-twin/AR simulation for HRC assembly task allocation and validates decisions with real HRC assembly experiments; strong method evidence in manufacturing assembly context but not construction-site deployment.
84,84,cao_reinforcement_2024,2024,RL Smart Mobile Factory Operation,Reinforcement Learning for Smart Mobile Factory Operation in Linear Infrastructure Projects,Tier B,"Navigation, Layout, and Logistics Support",High-level,Low-dim / structured project-state and mobile-factory operation observation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,paper-level check: ISARC 2024 optimizes mobile-factory scheduling/relocation policy for linear infrastructure via RL in a simulated planning environment; this is logistics-level decision support rather than embodied construction robot execution and has simulation-only validation.
