"inventory_id","citation_key","year","title","release_note"
"DI152","Dhakate2022","2022","Autonomous Control of Redundant Hydraulic Manipulator Using Reinforcement Learning with Action Feedback","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI153","li2026robust_hoisting","2026","Robust Input Shaping Vibration Suppression Control for a Rigid-Flexible Coupling Hoisting Robot Using Deep Reinforcement Learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI154","xiao2026retaining_wall_crane","2026","Development and Implementation of Machine Learning–Based Hierarchical Approach for Autonomous Retaining Wall Construction Using a Robotized Crane","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI155","gao2026spraying_sac","2026","Trajectory Planning for a Spraying Robotic Arm Using a Digital Twin and an Improved SAC Algorithm","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI156","xu2026excavator_tracking","2026","Research on efficient trajectory planning and tracking control for excavators based on deep reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI157","wu2026curved_timber","2026","A Curved Mortise-Tenon Timber Joint for Robotic Non-sequential Assembly with Reinforcement Learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI158","zhang2026abm_digital_twin","2026","Digital twin-enabled synchronous jacking control of an aerial building machine using a scale model","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI159","wang2026roboinspect","2026","Toward next-generation autonomous structural health monitoring and inspection with humanoid robots","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI160","abe2026coadaptation","2026","Co-Adaptation in Human-Robot Collaborative Construction: A Case Study on Timber Joint Assembly","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI161","hassaan2026construction_grasping","2026","Towards RL Control for Flexible Robotic Applications in Construction: Grasping Static Objects","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI162","pan2026humanoid_locomani","2026","Learning Humanoid Loco-Manipulation for Transporting Unwieldy Construction Objects","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI163","liu2026wheel_loader_unloading","2026","Autonomous Unloading Control of a Wheel Loader Based on Dump-Truck Bed Perception","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI164","li2026underground_hoisting_sac","2026","Experimental study on SAC-based real-time disturbance rejection method and multi-parameter tuning for cross-space cable-driven parallel robot in underground mines","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI165","wang2026tower_crane_wind","2026","Expert-guided reinforcement learning for tower crane control under wind disturbances","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI166","zhang2025abm_td3","2025","Synchronous Control of Multiple Hydraulic Cylinders in Aerial Building Machine Using Improved Deep Reinforcement Learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
